alcohol,density,fixed acidity level,chlorides level,label
8.8,1.001,medium,low,0
9.5,0.9940000000000001,low,low,0
10.1,0.9951,high,low,0
9.9,0.9956,medium,medium,0
9.9,0.9956,medium,medium,0
10.1,0.9951,high,low,0
9.6,0.9949,low,low,0
8.8,1.001,medium,low,0
9.5,0.9940000000000001,low,low,0
11.0,0.9938,high,low,0
12.0,0.9908,high,low,0
9.7,0.9947,high,low,0
10.8,0.992,medium,low,0
12.4,0.9962,medium,low,1
9.7,1.0002,high,low,0
11.4,0.9964,medium,low,1
9.6,0.9928,low,low,0
12.8,0.9942,low,low,1
11.3,0.9917,medium,low,0
9.5,0.9955,low,low,0
12.8,0.9942,low,low,1
11.0,0.9962,low,low,1
10.5,0.998,medium,low,1
9.3,0.9937,medium,high,0
10.0,0.9951,medium,medium,0
10.4,0.9955,medium,low,0
10.0,0.993,medium,medium,0
10.5,0.9961,medium,medium,0
11.6,0.9914,medium,low,0
12.3,0.9956,medium,low,1
10.0,0.9974,high,low,0
10.2,0.9934,high,low,0
10.8,0.992,medium,low,0
9.0,0.9939,low,low,0
10.2,0.9962,low,low,0
12.8,0.9905,medium,high,0
10.0,0.9934,low,medium,0
11.2,0.9906,medium,medium,0
8.6,0.9999,medium,medium,0
8.6,0.9999,medium,medium,0
9.4,0.9937,medium,high,0
9.4,0.9937,medium,high,0
9.8,0.9954,medium,medium,0
9.5,0.9934,medium,medium,0
9.5,0.9934,medium,medium,0
10.0,0.9981,medium,medium,1
9.8,0.9940000000000001,low,medium,0
9.8,0.9939,low,medium,0
9.8,0.9954,medium,medium,0
9.8,0.995,medium,medium,0
11.7,0.9917,medium,medium,0
11.0,0.9964,medium,medium,1
10.9,0.996,low,medium,1
10.9,0.9911,low,low,0
9.1,0.993,medium,high,0
11.0,0.9908,medium,low,0
9.6,0.9962,medium,low,0
8.9,0.9972,low,low,0
10.2,0.9931,medium,low,0
9.9,0.9926,medium,low,0
8.6,0.9951,medium,high,0
8.9,0.9972,low,low,0
10.5,0.991,medium,low,0
10.2,0.9931,medium,low,0
10.3,0.9927,medium,low,0
9.1,0.9934,low,medium,0
12.6,0.9953,low,low,1
9.8,0.992,medium,low,0
10.7,0.9976,medium,low,1
9.5,0.9962,medium,low,0
9.0,0.9956,low,medium,0
9.5,0.9958,medium,medium,0
10.0,0.9964,low,medium,0
9.1,0.9941,high,medium,0
10.7,0.9976,medium,low,1
9.5,0.9962,medium,low,0
12.7,0.9948,medium,low,1
12.0,0.9962,medium,low,1
9.3,0.9961,medium,medium,0
9.0,0.9949,medium,medium,0
10.6,0.9929,medium,medium,0
9.2,0.9985,medium,low,0
10.0,0.9946,medium,medium,0
9.5,0.9966,medium,low,0
8.7,0.9974,medium,low,0
8.7,0.9975,medium,low,0
8.7,0.9974,medium,low,0
9.7,0.9972,medium,low,0
8.7,0.9974,medium,low,0
8.7,0.9975,medium,low,0
8.7,0.9974,medium,low,0
9.0,0.9957,low,low,0
12.6,0.995,medium,low,1
12.6,0.9949,medium,low,1
11.5,0.9966,medium,low,1
9.2,0.9969,medium,low,0
8.8,0.9979,low,low,0
11.4,0.9963,high,low,1
10.1,0.9956,high,low,0
8.8,0.9979,low,low,0
9.1,0.9975,medium,medium,0
9.4,0.9962,medium,medium,0
9.4,0.997,low,low,0
9.0,1.0,medium,medium,0
9.1,0.9975,medium,medium,0
9.2,0.9974,medium,medium,0
9.4,0.9962,medium,medium,0
9.1,0.9990000000000001,medium,low,0
9.1,0.9990000000000001,medium,low,0
10.3,0.9927,medium,medium,0
8.8,0.9959,low,high,0
8.9,1.0,medium,medium,0
9.2,0.9982,medium,medium,0
9.1,0.9968,medium,low,0
9.1,0.9968,medium,low,0
9.7,0.9940000000000001,low,medium,0
11.3,0.9914,low,low,0
11.8,0.9911,medium,low,0
9.2,0.9982,medium,medium,0
9.2,0.9982,medium,medium,0
10.2,0.9934,low,low,0
8.8,0.9984,medium,medium,0
9.7,0.9952,medium,medium,0
9.1,0.9952,medium,medium,0
9.8,0.9928,low,high,0
11.0,0.9912,medium,low,0
10.5,0.9940000000000001,medium,low,0
9.7,1.0008,low,low,1
10.9,0.9974,low,low,1
10.9,0.9924,low,low,0
10.6,0.9940000000000001,low,low,0
9.7,1.0008,low,low,1
9.0,0.9979,low,low,0
9.2,0.9982,medium,low,0
8.9,0.9961,medium,low,0
9.6,0.9979,medium,low,0
10.7,0.992,high,low,0
8.7,0.9975,medium,low,0
10.8,0.9967,medium,low,1
11.8,0.9923,high,low,0
10.2,0.9927,low,low,0
8.7,0.9975,medium,low,0
10.8,0.992,medium,low,0
9.7,0.9947,high,low,0
11.2,0.9921,high,low,0
10.9,0.9905,low,low,0
10.1,0.9918,low,low,0
9.0,0.9951,low,medium,0
12.0,0.9967,low,low,1
9.4,0.9940000000000001,medium,medium,0
11.5,0.9984,medium,low,1
9.9,0.9968,medium,medium,0
9.4,0.9940000000000001,medium,medium,0
10.4,0.9919,medium,low,0
9.7,0.9966,high,low,0
8.9,0.9979,medium,medium,0
8.9,0.9979,medium,medium,0
12.4,0.9948,low,low,1
12.1,0.9944,low,low,1
12.1,0.9944,low,low,1
12.4,0.9948,low,low,1
9.1,0.998,low,medium,0
10.6,0.9932,low,low,0
8.9,0.9979,medium,medium,0
9.5,0.997,medium,low,0
9.8,0.9972,medium,medium,0
9.6,0.9974,high,low,0
12.6,0.9946,medium,low,1
9.3,0.9968,medium,medium,0
10.0,0.9958,high,low,0
12.7,0.9906,medium,medium,0
11.0,0.9917,medium,low,0
11.4,0.9902,medium,low,0
11.5,0.9968,low,low,1
10.2,0.9990000000000001,medium,medium,0
11.4,0.9927,medium,low,0
12.6,0.991,medium,low,0
9.4,0.9972,low,medium,0
8.7,0.9931,low,medium,0
9.2,0.995,low,low,0
9.3,0.9951,low,low,0
9.2,0.9936,medium,medium,0
8.7,1.001,medium,low,0
9.6,0.9979,medium,low,0
9.3,0.997,medium,low,0
9.3,0.9972,medium,low,0
9.9,0.9954,medium,low,0
11.0,0.9924,low,low,0
12.7,0.9956,medium,low,1
8.9,0.9962,low,low,0
8.9,0.9962,medium,medium,0
8.7,1.001,medium,low,0
11.4,0.9928,medium,low,0
9.6,0.9942,medium,medium,0
9.1,0.9942,low,high,0
9.1,0.9942,low,high,0
9.1,0.9942,low,high,0
8.9,0.9961,medium,medium,0
8.8,0.998,medium,low,0
8.9,0.9961,medium,medium,0
9.3,0.9984,medium,low,0
8.8,0.998,medium,low,0
9.6,0.9973,medium,low,0
12.0,0.9949,medium,low,0
10.2,0.9924,low,medium,0
8.8,0.9972,low,low,0
9.2,0.9958,medium,low,0
9.9,0.9968,high,low,0
10.2,0.9938,medium,low,0
9.5,0.993,low,low,0
10.5,0.9940000000000001,low,low,0
11.2,0.9968,medium,low,1
9.2,0.9958,medium,low,0
9.7,0.9944,medium,medium,0
11.1,0.9962,low,low,1
9.4,0.9961,low,low,0
11.0,0.9939,medium,low,0
9.4,0.9961,low,low,0
9.4,0.9989,low,low,0
11.0,0.9938,medium,low,0
11.0,0.9939,medium,low,0
9.1,0.9971,medium,medium,0
11.1,0.9962,low,low,1
9.1,0.9936,low,low,0
10.4,0.9929,low,low,0
8.7,0.9998,medium,low,0
9.7,0.9938,low,low,0
9.1,0.9969,medium,low,0
9.7,0.9938,low,low,0
8.7,0.9998,medium,low,0
8.9,0.9972,medium,medium,0
9.6,0.9976,high,low,0
9.5,0.9976,high,low,0
9.0,0.9979,medium,medium,0
9.0,0.9979,medium,medium,0
9.0,0.9979,medium,medium,0
9.0,0.9979,medium,medium,0
9.6,0.9972,medium,low,0
11.1,0.9968,medium,low,1
9.6,0.9982,low,low,0
8.7,0.9985,medium,low,0
10.4,0.9944,medium,low,0
11.4,0.9953,medium,low,1
9.7,0.9934,medium,low,0
8.7,0.9975,medium,low,0
11.3,0.9923,low,low,0
12.6,0.995,medium,low,1
10.9,0.9955,low,low,1
10.9,0.9955,low,low,1
10.0,0.996,low,low,0
10.0,0.9964,low,medium,0
9.8,0.998,high,high,0
8.7,0.9975,medium,low,0
11.7,0.9913,low,low,0
9.3,0.9932,low,medium,0
9.6,0.9985,medium,low,1
11.0,0.9977,low,low,1
11.0,0.9977,low,low,1
11.8,0.9912,low,low,0
11.4,0.9904,low,low,0
10.2,0.9939,medium,low,0
8.9,0.9996,medium,low,0
10.2,0.9944,medium,low,0
9.6,0.9977,medium,low,0
10.6,0.9912,low,low,0
8.9,0.9996,medium,low,0
9.2,0.9965,medium,medium,0
9.7,0.9944,low,low,0
9.7,0.9945,low,low,0
9.7,0.9944,low,low,0
9.2,0.9965,medium,medium,0
9.7,0.9944,low,low,0
9.3,0.9972,low,medium,0
9.0,0.9949,medium,medium,0
9.5,0.9966,medium,low,0
9.8,0.9954,medium,low,0
9.8,0.9954,medium,low,0
10.6,0.9915,medium,low,0
10.6,0.9919,medium,low,0
12.4,0.9966,medium,low,1
12.6,0.995,medium,low,1
12.3,0.9959,low,low,1
10.5,0.9938,medium,low,0
9.3,0.9982,medium,medium,0
8.8,0.9988,medium,medium,0
8.8,0.9961,medium,medium,0
9.7,0.9978,low,medium,0
9.0,1.0029,medium,medium,1
9.0,1.0029,medium,medium,1
9.0,1.0029,medium,medium,1
9.0,1.0029,medium,medium,1
10.5,0.9945,low,low,0
9.1,1.0,medium,medium,0
9.8,1.0007,low,low,1
8.5,0.9968,high,medium,0
9.4,0.9934,low,low,0
9.4,0.9976,high,low,0
11.2,0.9982,medium,low,1
10.0,0.997,medium,low,0
10.3,0.9923,medium,low,0
10.8,0.9914,low,medium,0
10.5,0.992,high,low,0
10.8,0.9914,low,medium,0
11.1,0.9914,low,medium,0
9.9,0.9949,medium,medium,0
9.9,0.9949,medium,medium,0
9.9,0.995,medium,medium,0
9.9,0.995,medium,medium,0
10.4,0.9977,low,low,1
10.4,0.9928,low,low,0
11.5,0.9967,low,low,1
12.5,0.9968,low,low,1
10.0,0.9954,medium,low,0
10.0,0.9941,low,low,0
10.0,0.9941,low,low,0
9.1,0.9934,medium,high,0
10.6,0.9927,medium,low,0
10.5,0.9938,medium,low,0
11.5,0.9983,low,low,1
10.1,0.9934,low,low,0
10.3,0.9977,low,low,1
10.5,0.9938,medium,low,0
10.6,0.9927,medium,low,0
10.4,0.9946,medium,low,0
11.4,0.993,high,low,0
10.5,0.9946,medium,medium,0
10.0,0.9976,medium,low,0
10.0,0.9944,low,low,0
9.6,0.9978,low,low,0
10.4,0.992,medium,low,0
12.5,0.9962,low,low,1
10.6,0.9927,medium,low,0
11.8,0.9906,low,low,0
9.8,0.9954,low,low,0
10.8,0.9923,low,low,0
11.8,0.9906,low,low,0
11.2,0.991,low,low,0
9.3,0.9972,low,low,0
10.4,0.9945,low,low,0
10.2,0.9984,medium,low,1
9.0,1.0014,medium,low,1
10.0,0.9948,medium,low,0
9.1,0.9962,low,low,0
10.0,0.9931,low,medium,0
10.0,0.993,low,medium,0
9.6,0.9942,medium,low,0
11.2,0.9956,low,low,1
8.8,0.9995,medium,medium,0
10.0,0.998,medium,medium,0
10.0,0.997,medium,medium,0
11.4,0.9964,low,low,1
11.9,0.997,medium,low,1
9.6,0.9924,low,high,0
11.9,0.997,medium,low,1
9.6,0.9937,low,low,0
9.0,0.9978,medium,medium,0
9.0,0.9978,medium,medium,0
9.5,0.9927,low,low,0
10.4,0.9940000000000001,high,low,0
10.6,0.9935,medium,low,0
10.2,0.9968,low,low,0
8.9,0.9941,medium,medium,0
9.7,0.9942,medium,low,0
9.0,0.9978,medium,medium,0
11.4,0.9973,medium,low,1
12.3,0.9962,low,low,1
10.8,0.9923,low,high,0
9.4,0.9927,medium,medium,0
10.6,0.9931,medium,low,0
11.6,0.9941,medium,low,0
9.4,0.9927,medium,medium,0
10.6,0.9931,medium,low,0
10.0,0.9934,medium,low,0
9.2,0.9936,medium,low,0
12.5,0.9943,low,low,1
12.5,0.9943,low,low,1
10.4,0.9969,low,low,1
10.0,0.9974,medium,low,1
10.0,0.9927,low,low,0
10.4,0.9969,low,low,1
10.0,0.9974,medium,low,1
9.0,0.9975,medium,low,0
9.2,0.9969,medium,medium,0
9.2,0.9936,medium,low,0
11.3,0.996,low,low,1
12.5,0.9943,low,low,1
10.8,0.9956,low,low,1
10.1,0.9941,low,low,0
9.7,0.995,medium,low,0
9.3,1.0033,medium,low,1
9.3,1.0033,medium,low,1
10.6,0.9916,low,low,0
10.2,0.9957,low,low,0
12.2,0.99,medium,low,0
8.8,0.9976,medium,low,0
10.0,0.992,medium,low,0
11.4,0.9917,high,low,0
11.4,0.9917,low,low,0
9.4,0.9993,low,low,0
11.7,0.9908,low,low,0
